algorithm,best_fitness,best_clean,time_sec
NSGA-II,1103.1930009000644,1085.1930009000644,386.59148120880127
NSGA-II,1175.4297974644683,1100.979797464468,393.946213722229
NSGA-II,1237.7856415871838,1161.435641587184,394.1483335494995
NSGA-II,1134.144011026841,1103.394011026841,394.77718138694763
NSGA-II,1150.4351365237953,1129.3351365237954,395.1624732017517
NSGA-II,1198.6719330881992,1154.121933088199,404.6097586154938
NSGA-II,1188.9430009000648,1155.1930009000648,405.8046188354492
NSGA-II,1450.2729432149756,1209.1930009000648,407.7198836803436
NSGA-II,1101.0508652763333,1083.0508652763333,377.3567008972168
NSGA-II,1153.279797464468,1082.979797464468,375.9776680469513
NSGA-II,1281.472438151587,1153.87929240108,377.86472821235657
NSGA-II,1181.2930009000647,1157.1930009000648,380.80588603019714
NSGA-II,1174.557719525826,1104.7077195258257,381.44689083099365
NSGA-II,1096.1155839020948,1079.5655839020947,373.9107987880707
NSGA-II,1289.0940110268411,1085.3940110268409,376.141597032547
NSGA-II,1248.4856415871839,1160.435641587184,385.90098571777344
NSGA-II,1268.0214280248108,1174.0214280248108,366.73610401153564
NSGA-II,1190.2508652763336,1098.0508652763335,368.06602454185486
NSGA-II,1271.3777772109147,1160.577777210915,377.1278202533722
NSGA-II,1084.979797464468,1069.979797464468,363.8285629749298
NSGA-II,1333.3145737753184,1165.3645737753186,373.4706299304962
NSGA-II,1175.572438151587,1102.222438151587,368.8531665802002
NSGA-II,1250.0430009000647,1208.1930009000648,386.23284673690796
NSGA-II,1666.2709229614225,1198.9209229614225,392.5640811920166
NSGA-II,1268.9930009000645,1158.1930009000646,332.2696461677551
NSGA-II,1264.8655839020948,1106.565583902095,337.3341107368469
NSGA-II,1145.9856415871836,1126.435641587184,338.5794062614441
NSGA-II,1287.3214280248108,1132.0214280248106,326.1052813529968
NSGA-II,1255.2430009000645,1178.1930009000648,335.4687728881836
NSGA-II,1194.8782822743033,1162.6782822743032,341.6196849346161
NSGA-II,1217.944011026841,1103.3940110268413,330.7141103744507
GA,1204.1914857098996,1139.8914857098994,396.329119682312
GA,1266.649855149557,1128.849855149557,402.28441643714905
GA,1330.3856415871842,1159.435641587184,411.14043521881104
GA,1323.0067093990497,1162.5067093990497,421.32003593444824
GA,1184.62929240108,1153.87929240108,421.8900074958801
GA,1203.956204335661,1181.4062043356612,425.54646492004395
GA,1365.0983399593922,1238.5483399593923,438.367684841156
GA,1187.650865276334,1140.0508652763338,438.5099050998688
GA,1155.950360212945,1124.950360212945,390.5972239971161
GA,1247.8513703397218,1096.1513703397218,383.4616870880127
GA,1196.8229432149756,1079.3229432149756,377.9888572692871
GA,1330.506204335661,1152.4062043356612,402.84083580970764
GA,1123.0861466505721,1100.536146650572,399.9190230369568
GA,1139.9224381515874,1100.222438151587,404.7035129070282
GA,1244.4856415871836,1156.435641587184,412.1505706310272
GA,1229.4650788387069,1162.4650788387069,418.942236661911
GA,1190.1072144624372,1096.6072144624372,393.31292724609375
GA,1237.4782822743032,1156.678282274303,407.1510555744171
GA,1565.4356415871841,1175.4356415871841,432.0595712661743
GA,1664.1797974644683,1136.979797464468,405.2101912498474
GA,1427.799350086169,1201.7493500861688,429.7214334011078
GA,1189.3577195258263,1163.7077195258262,422.6257939338684
GA,1217.5067093990494,1150.5067093990492,401.5623118877411
GA,1393.0351365237957,1263.3351365237959,478.42784881591797
GA,1595.3792924010797,1117.8792924010797,388.2598686218262
GA,1191.6587296526025,1080.9087296526025,360.7094051837921
GA,1514.8082245892142,1122.8082245892142,367.83521795272827
GA,1511.858729652603,1121.9087296526027,353.3457238674164
GA,1350.9209229614225,1168.9209229614225,364.96090483665466
GA,1692.4861466505722,1161.5361466505724,375.93839502334595
GA,1188.3292924010798,1158.87929240108,365.95750546455383
μ+λ,1618.2435059634527,1089.2935059634528,188.5931715965271
μ+λ,1104.6587296526025,1082.9087296526025,190.3826141357422
μ+λ,1298.9787873376918,1177.7787873376915,194.60311627388
μ+λ,1404.0861466505723,1205.5361466505724,197.45083332061768
μ+λ,1316.2209229614223,1161.9209229614225,200.47413873672485
μ+λ,1328.3572144624377,1161.6072144624377,201.41113328933716
μ+λ,1202.4782822743032,1163.6782822743032,202.02154636383057
μ+λ,1277.8782822743033,1184.6782822743032,207.68386459350586
μ+λ,1277.129797464468,1086.979797464468,186.31096172332764
μ+λ,1139.6082245892144,1090.8082245892142,184.2758331298828
μ+λ,1427.8214280248108,1151.0214280248108,198.26675510406494
μ+λ,1221.9430009000646,1112.1930009000644,187.9793152809143
μ+λ,1256.327777210915,1168.577777210915,192.76075434684753
μ+λ,1242.5719330881989,1124.121933088199,195.27135920524597
μ+λ,1245.7856415871838,1157.435641587184,200.2371575832367
μ+λ,1338.4214280248111,1168.021428024811,194.53835940361023
μ+λ,1342.577777210915,1205.577777210915,199.2989058494568
μ+λ,1457.4503602129453,1193.9503602129455,195.352308511734
μ+λ,1177.0435059634528,1095.2935059634528,185.1693651676178
μ+λ,1117.7435059634527,1088.2935059634528,182.69273447990417
μ+λ,1179.2356415871839,1156.435641587184,195.77371048927307
μ+λ,1187.2930009000647,1157.1930009000648,193.99918293952942
μ+λ,1228.9341263970193,1194.1341263970194,205.49185490608215
μ+λ,1483.5635636485422,1199.1635636485419,197.8327660560608
μ+λ,1417.6145737753181,1120.3645737753184,173.57354259490967
μ+λ,1251.657719525826,1116.7077195258257,172.48394584655762
μ+λ,1312.4209229614225,1191.9209229614225,179.63382029533386
μ+λ,1324.194011026841,1100.3940110268413,168.98301362991333
μ+λ,1191.5792924010798,1100.8792924010797,164.35801148414612
μ+λ,1319.8130585851536,1186.0630585851536,174.58268117904663
μ+λ,1422.7650788387068,1158.4650788387066,175.93653273582458
SA,1885.7551942088846,1210.2051942088847,23.075648546218872
SA,1797.297834896004,1271.4478348960042,23.94451642036438
SA,2187.8595231414356,1383.359523141436,24.18892002105713
SA,2285.882611206854,1329.8326112068544,24.435895442962646
SA,2718.9546891454966,1318.1046891454966,24.66555666923523
SA,2118.297329832616,1356.347329832616,25.693434715270996
SA,1989.3168824543168,1389.116882454317,25.759899139404297
SA,2448.7859300126293,1464.785930012629,27.376399993896484
SA,2731.7282822743036,1181.6782822743035,22.476704359054565
SA,2108.2983399593923,1215.548339959392,23.226807355880737
SA,1780.3389603929586,1289.3889603929583,24.008981704711914
SA,2068.9389603929585,1339.3889603929586,23.961321592330933
SA,2287.277272147527,1205.477272147527,23.149468421936035
SA,2180.1189027078694,1271.5189027078695,23.73009181022644
SA,2076.005194208885,1343.2051942088847,27.04266357421875
SA,1870.9993500861688,1220.7493500861688,23.636849403381348
SA,1668.1356415871842,1194.435641587184,22.69525671005249
SA,2779.8714280248114,1178.0214280248108,22.7382550239563
SA,1995.683621333631,1225.033621333631,22.970160007476807
SA,2312.8889603929583,1333.3889603929586,24.203688859939575
SA,1690.8326112068542,1302.8326112068544,23.4284029006958
SA,2140.9394654563466,1300.4894654563468,23.771744966506958
SA,2110.8336213336306,1278.033621333631,22.279030323028564
SA,1917.149350086169,1260.7493500861688,24.023131847381592
SA,2459.513058585154,1252.0630585851538,21.10886287689209
SA,2444.0209229614225,1195.9209229614225,19.680376291275024
SA,2191.657719525826,1165.7077195258262,19.136516094207764
SA,2079.8297974644684,1124.979797464468,20.680274486541748
SA,1997.789465456347,1250.489465456347,19.814893007278442
SA,1887.3889603929588,1370.3889603929588,20.671299695968628
SA,1973.5310960166898,1440.5310960166898,22.710586547851562
